,Text,Category
12,uk coal plunges deeper loss shares uk coal fallen mining group reported losses deepened 516m 2004 12m uk biggest coal producer blamed geological problems industrial action operating flaws deep mines worsening fortunes south yorkshire company led new chief executive gerry spindler said hoped return profit 2006 early trade thursday shares 10 119 pence uk coal said making significant progress shaking business introduced new wage structures new daily maintenance regime machinery mines methods continue mining adverse conditions company said actions significantly uplift earnings expected 2005 transitional year return profitability 2006 recent rise coal prices failed benefit company output already sold said total production costs 130 per gigajoule uk coal said average selling price 118 per gigajoule long journey ahead fix issues continue make progress great strides already made said mr spindler uk coal operates 15 deep surface mines across nottinghamshire derbyshire leicestershire yorkshire west midlands northumberland durham,0
13,bp surges ahead high oil price oil giant bp announced 26 rise annual profits 162bn 87bn back record oil prices last week rival shell reported annual profit 175bn record profit uklisted company bp added increasing fourthquarter dividend 26 85 cents would continue share buybacks bp chief executive lord browne said results strong operationally financially company earning 18m hour despite record annual profits figure bp performance expectations city analysts however bp share price rose 4p nearly 1 morning trading 548p profit rise year included profits 365bn 197bn final three months 2004 289bn year ago third quarter speaking bbc today programme tuesday lord browne said profits solely high oil price alone profits price oil said lord browne pointed bp reaping benefits investment oil exploration spent many years buying assets price low said company made new discoveries egypt gulf mexico angola however lord browne rejected calls windfall tax company huge profits saying north sea paid progressively tax profits made lord browne believes oil prices remain quite high currently 40 barrel said price oil well supported 30 barrel medium term bp put production year 3997 billion barrels oil 10 2003 slightly lower four billion barrels initially aimed,0
14,ireland 2119 argentina injurytime dropped goal ronan gara stole victory ireland underneath noses argentina lansdowne road saturday gara kicked ireland points two dropped goals five penalties give home side 100 record autumn internationals impressive argentina appeared control dying seconds pumas shocked irish early try federico aramburu felipe contepomi kicked 14 points welldrilled sharper pumas outplayed outthought ireland early stages indiscipline allowed argentina leinster flyhalf contepomi open scoring third minute straightforward penalty mark two minutes later argentina shocked ragged ireland first try game ireland turned ball manuel contepomi broke unstructured defence feeding midfield partner aramburu sprint posts gara finally got ireland board dropped goal ninth minute contepomi rifle second penalty two minutes later playing strong wind rain ireland continued come second best tight situations turnovers began mount rugged defence gara managed land second penalty 36th minute contepomi replied kind four minutes firsthalf injury time secondhalf started first ended gara rifled another penalty 45th minute contepomi matched three minutes later upperbody strength pumas never allowed ireland take control front threequarters space manoeuvre ireland rely gara boot keep touch rather contrived running plays munsterman landed two penalties one 48 metres bring team within four points 13 minutes clock remaining ireland chance came argentina number eight gonzalo longo yellow carded six minutes go offence lineout gara made mistake rifled fifth penalty set tense final minutes ireland showed great composure get position allow gara thump massive drop goal complete tremendous fortuitous comeback,3
15,wenger signs new deal arsenal manager arsene wenger signed new contract stay club may 2008 wenger ended speculation future agreeing longterm contract takes beyond opening arsenal new stadium two years said signing new contract rubberstamps desire take club forward fulfil ambitions still much achieve target drive club exciting times arsenal 55yearold frenchman told arsenal website wwwarsenalcom intention always clear love club happy wenger title fa cup three times reign chairman peter hillwood said absolutely delighted arsene signed extension contract since arrival 1996 revolutionised club pitch well six major honours time arsene leading influence behind major initiatives club including construction new training centre also new stadium club continued reap benefits arsene natural eye unearthing footballing talent currently fantastic crop young players coming ranks together number worldclass players playing wonderful brand football meanwhile arsenal director danny fiszman looking wenger stay beyond 2008 come towards end contract review situation sure want stay hope said fiszman,3
16,u2 desire number one u2 three prestigious grammy awards hit vertigo stubbornly clinging status one biggest bands world popular groups history rock several things common music must inspired appeal across generations distinctive always groundbreaking success music compelling performers charismatic intelligent enough make good decisions keep feet ground also want want biggest band ever stop wanting beatles rolling stones still rem hold onto queen catsuit u2 spades keep churning new album dismantle atomic bomb comes 28 years schoolfriends got together dublin 17 years joshua tree cemented place alltime rock alist may lost edginess raw youthful force propelled top lost none desire ability craft songs albums vertigo first single new album went straight uk singles chart number one knocking eminem top spot giving 26th top 10 hit challenge bigger bolder better make records whole world listen bono recently said drummer larry mullen jr echoed sentiments competitive want radio big singles want thought veteran band band done everything considerable powers ensure remain biggest band world according q magazine editor paul rees makes hugely determined formidable added equally determined push make music continues stand constantly reinvented challenged perhaps alone rock band got better age key ingredient fact highly organised mr rees said everything right way group born mullen put appeal bandmates high school notice board attracting fellow pupils paul hewson bono vocals adam clayton bass david evans edge guitar brother dick dick evans soon dropped fourpiece known feedback hype settling u2 1978 talent contest got noticed manager paul mcguinness brilliant coarse mcguinness recently said way exactly badly struggled attract record company attention later described pretty damn average strange eerie scouts saw live released two irelandonly singles topped national charts 1979 1980 leading deal island debut album boy stadiumfilling anthemic sound u2 aim start third album war saw make breakthrough sides atlantic going number one uk 12 us songs like sunday bloody sunday new year day brought success image political spiritual band bono rejected cliche stage performances included flagwaving speakerclimbing drumthrowing earned reputation electric performer appearance 1985 live aid widely seen sealing global stardom 1987 joshua tree broke sales records saw band reach height powers hits including streets name still found looking without songs took band epic atmospheric sound simple powerful popular pinnacle end decade marked crucial point band reached top still yearned new challenges achievements came form explorations different branches rock forays electronic dance music plus wildly extravagant stage shows still trying retain mass appeal achtung baby album 1991 followed zooropa pop corresponding stadium tours featured giant olives flying cars live phone calls white house bono transformation alteregos fly macphisto also building parallel reputation always pleasure bandmates campaigner issues global debt aids release dismantle atomic bomb sold 125 million albums around world still want,1
17,hantuchova dubai last eight daniela hantuchova moved quarterfinals dubai open beating elene likhotseva russia 75 64 faces serena williams australian open champion williams survived early scare beat russia elena bovina 16 61 64 world number one lindsay davenport anastasia myskina also progressed davenport defeated china jie zheng 62 75 french open champion myskina sailed opponent marion bartoli retired hurt american davenport face fellow former wimbledon champion conchita martinez spain ousted seventhseeded nathalie dechy france 61 62 myskina face eighthseed patty schnyder switzerland defeated china li na 63 76 108 quarter final pits wild card sania mirza india jelena jankovic serbia montenegro tuesday meeting martinez davenport believes room improvement game started well finished well played soso games middle said williams also far content know said really windy played wind shots going hantuchova upbeat mood ahead clash younger williams sister handed firstround bye feel advantage serena already played two matches courts said difficult court play fast sometimes feel control ball,3
18,melzer shocks agassi san jose second seed andre agassi suffered comprehensive defeat jurgen melzer quarterfinals sap open agassi often bamboozled austrian drop shots san jose losing 63 61 defending champion top seed andy roddick rallied beat sweden thomas enqvist 36 76 86 75 unseeded cyril saulnier beat fourth seed vincent spadea 62 64 tommy haas overcame eighth seed max mirnyi 67 27 76 73 62 melzer beaten agassi two three meetings good game plan executed perfectly said always tough come play andre want play game makes run like dog court agassi matched power opponent twohanded backhand said melzer example several players tour willing take chances lot guys capable said american played much better times opportunities loosen agassi added convert big points,3
19,moving mobile improves golf swing mobile phone recognises responds movements launched japan motionsensitive phone officially titled v603sh developed sharp launched vodafone japanese division devised mainly mobile gaming users also access phone functions using preset pattern arm movements phone allow golf fans improve swing via golfing game prefer shoot emups able use phone like gun shoot zombies mobile version sega house dead phone comes tiny motioncontrol sensor computer chip responds movement features include display screen allows users watch tv rotate 180 degrees also doubles electronic musical instrument users select sound menu includes clapping tambourine maracas shake phone create beat recommended karaoke market phone initially available japan due go sale midfebruary new gadget could make interesting peoplewatching among japanese commuters able access mobiles subway fishing afficiandos south korea already using phone allows simulate movement rod phs6500 phone dubbed sportsleisure gadget developed korean phone giant pantech also used runners measure calorie consumption distance run,4
20,hewitt overcomes wobble sydney lleyton hewitt gave perfect preparation next week australian open victory ivo minar final sydney international defending champion brushed aside czech qualifier 75 60 australian world number three strolled first five games match shocked minar next five top seed rattled recovered close set raced victory exactly hour strange match momentum swings said hewitt felt like came blocks extremely well loosened bit got back 55 try settle take notch able hewitt lifted sydney title four times last six years keeps getting better better every year hewitt said played tournament four times four times hewitt went final shortpriced favourite clinch 24th career title dropping one set week set meet frenchman arnaud clement first round australian open minar ranked 158th world forced pull australian open qualifying draw play first atp final big success said 20yearold nervous last night sleep never played top10 player wanted play qualifying melbourne saturday still main draw need points money alicia molik takes samantha stosur allaustralian women final later saturday,3
21,carry star patsy rowlands dies actress patsy rowlands known millions roles carry films died age 71 rowlands starred nine popular carry films alongside fellow regulars sid james kenneth williams barbara windsor also carved successful television career appearing many years itv wellloved comedy bless house rowlands died hove saturday morning agent said born january 1934 rowlands scholarship guildhall school speech drama scholarship 15 spending several years players theatre london made film debut 1963 tom jones directed tony richardson made first carry film 1969 appeared carry doctor rowlands played harddoneby wife putupon employee regular carry star also appeared carry convenience carry matron carry loving well others recent years appeared bbc miniseries cazalets played mrs potts london stage version beauty beast agent simon beresford said absolutely favourite client never complained anything particularly ill old trouper old school skills musical theatre high drama worked great good directors mind always recognised carry films thoroughly enjoyed making really lovely person much missed last appearance stage mrs pearce awardwinning production fair lady national theatre previously married leaves one son alan funeral private family occasion memorial service later date,1
22,serena becomes world number two serena williams moved five places second world rankings australian open win williams first grand slam title since 2003 victory lindsay davenport world number one men champion marat safin remains fourth atp rankings beaten finalist lleyton hewitt replaces andy roddick world number two roger federer retains top spot safin overtaken hewitt become new leader champions race alicia molik lost threeset thriller davenport quarterfinals women top 10 first time career rise means australia player top 10 men women rankings first time 21 years britain elena baltacha qualified reached third round risen 120 world leap 65 places highest ranking yet,3
23,ferguson urges henry punishment sir alex ferguson called football association punish arsenal thierry henry incident involving gabriel heinze ferguson believes henry deliberately caught heinze head knee united controversial win united boss said worse ruud van nistelrooy foul ashley cole got threegame ban shall present fa see tackle heinze terrible said clubs permitted ask fa examine specific incidents information expected provided within 48 hours game clash occurred moments halftime freddie ljungberg challenge left heinze ground left touchline henry following ball attempted hurdle argentine knee collided back heinze head striker protested innocence referee mike riley deemed collision accidental ferguson also upset arsenal overall discipline heated encounter two archrivals praised side behaviour edu produced terrible tackle scholes potential legbreaker said 24 fouls game arsenal seven heinze five ronaldo six vieira sixth foul got booked phil neville got booked first challenge proud players way handled pressure always good gracious defeat happened sunday overshadowed achievement time,3
24,bt boosts broadband packages british telecom said double broadband speeds home business customers increased speeds come extra charge follows similar move internet service provider aol many bt customers download speeds 2mbps although usage allowances one gigabyte 30 gigabytes month new speeds start come effect 17 february home customers 1 april businesses britain broadband britain said duncan ingram bt managing director broadband internet services added ninety percent customers see real increases speed speed increases give people opportunity lot broadband connections said upload speeds speed information sent pc via broadband remain speed said mr ingram despite increases bt continue usage allowances home customers allowances extremely generous said mr ingram seeing market place really issue bt begin enforcing allowances summer customers exceed amounts either able pay bigger allowance see download speeds reduced bt 36 share broadband market 39 becoming increasingly competitive last months many rival isps begun offer 2mbps services including aol plusnet uk online britain continues lag behind countries especially japan south korea offer broadband speeds 40mbps mr ingram said important separate hype reality said limited number people connections consistently received speeds 40mbps customers see connections double immediately 17 february mr ingram said would roll across network order prevent problems,4
25,china role yukos splitup china lent russia 6bn 32bn help russian government renationalise key yuganskneftegas unit oil group yukos revealed kremlin said tuesday 6bn russian state bank veb lent stateowned rosneft help buy yugansk turn came chinese banks revelation came russian government said rosneft signed longterm oil supply deal china deal sees rosneft receive 6bn credits china cnpc according russian newspaper vedomosti credits would used pay loans rosneft received finance purchase yugansk reports said cnpc offered 20 yugansk return providing finance company opted longterm oil supply deal instead analysts said one factor might influenced chinese decision possibility litigation yukos yugansk former owner cnpc become shareholder rosneft veb declined comment two companies rosneft cnpc agreed prepayment longterm deliveries said russian oil official sergei oganesyan nothing unusual prepayment five six years announcements help explain rosneft mediumsized indebted relatively unknown firm able finance surprise purchase yugansk yugansk sold 93bn auction last year help yukos pay part 27bn bill unpaid taxes fines embattled russian oil giant previously filed bankruptcy protection us court attempt prevent forced sale main production arm yugansk sold little known shell company turn bought rosneft yukos claims downfall punishment political ambitions founder mikhail khodorkovsky country richest man mr khodorkovsky trial fraud tax evasion deal rosneft cnpc seen part china desire secure longterm oil supplies feed booming economy china thirst products crude oil copper steel helped pushed global commodity prices record levels clearly chinese trying get leverage russia said dmitry lukashov analyst brokerage aton understand property rights russia important rights interested guaranteeing supplies price oil fixed deal unlikely could profitable chinese mr lukashov continued rosneft desperate need cash good deal,0
26,peertopeer nets stay peertopeer p2p networks stay verge exploited commercial media firms says panel industry experts several highprofile legal cases filesharers resolved year firms keen try make money p2p technology expert panel probed future p2p consumer electronics show las vegas earlier january first convictions p2p piracy handed us january william trowbridge michael chicoine pleaded guilty charges infringed copyright illegally sharing music movies software since first successful filesharing network napster forced close entertainment industry nervous critical p2p technology blaming falling sales piracy going change soon according panel music film industries started big legal cases owners legitimate p2p networks illegal individuals accused distributing pirated content networks slowly realised p2p good way distribute content said travis kalanick founder chairman p2p network red swoosh soon going want slice waiting come business models work includes digital rights management copyprotection standards legal actions resolved experimentation p2p happen said michael weiss president streamcast networks remembering furore around vcrs first came mr weiss said old media always tries stop new media stop try control figure make money always make lot money courts decided vcr illegal technology film studios turned extremely lucrative business august 2004 san franciscobased us court appeals ruled favour grokster streamcast two filesharing networks court said essentially position sony 1980s vcr battle said networks could deemed illegal p2p networks usually rely dedicated servers transfer files instead uses direct connections computers clients many different types p2p systems work different ways p2p nets used share kind file like photos free software licensed music digital content bbc already decided embrace technology aims offer programmes download year use p2p technology distribute files would locked seven days programme aired making rights management easier control technology still demonised misunderstood many global entertainment industry says 26 billion copyrighted music files downloaded every month half million films downloaded day legal music download services like apple itunes napster rushed music marketplace try lure filesharers away free content sales legallydownloaded songs grew tenfold 2004 200 million tracks bought online us europe 12 months ifpi reported week download services different p2p networks least financial aspect several moneyspinning models could turn p2p golden egg commercial entertainment companies paidforpassalong firms receive money time file shared along various drm solutions advertiserbased options considered see going different models commoditising p2p said marc morgenstern vice president antipiracy firm overpeer consumers hungry discover new models together agreed mr morgenstern many net users continue ignore entertainment industry potential controlling grip content p2p technology continuing use creations unsigned bands example use p2p networks distribute music effectively also draws attention record companies looking new artists sign increasingly seeing p2p consumercreated content said derek broes microsoft probably pay increasing role helping p2p spread said looking p2p future file sharing beginning p2p networks far mr broes concerned issues resolved going see aggressive movement protect content also ways unimaginable said filesharing tip iceberg,4
